id,Failure,Description,Title,Problem Code,Cause Code,Action Code
11183264,1,"Notification ID: 12771800
Eng Finding:
Shutdown due to 1LP & 3HP valve failure. 1LP valve failure was due to end of life and 3HP valve failure was from liquid in the process on unit startup. We also took the opportunity to change out the 1hp and 1lp valves because they had run for over 2 years. Liquid was caused by abnormal unit conditions during startup after refinery wide power outage. PT 3/9/2016",C-308 VALVE FAILED,1HP_VLV,OPS,RESTART
11193714,1,"Notif ID:
Eng Finding: Outside of KPI envelope for countable pump repairs - PT 3/3/2016
Ops Finding:
SAP WO Long Desc: GEMSTM - REPLACE STEAM UNION P7044
 SAP 11193714
 TRN: 7115487XUS
 P<(>&<)>ID 3-2133-0201 ATTACHED
 PICTURE ATTACHED
 REPLACE 3/4"" STEAM UNION SEEN IN ATTACHED PICTURE. UNION LOCATED ON THE
 P7044 EAST FRESH NaOH PUMP DISCHARGE ",C-457 VALVE FAILED,3LP_VLV,PRESSURE,REPLACE
11215921,1,"Notification ID: 12853340
REPLACE 2LP & 3LP VALVES PER WORK SCOPE",C-457 MANUAL OUTAGE,3LP_VLV,DESIGN,REPLACE
11217934,1,"Notification ID: 12861156
REPAIR C-457 PER ENGINEERING SCOPE",C-457 MANUAL OUTAGE,3LP_2HP_VLV,DESIGN,REPLACE
20191540,1,"Notif ID: 11339277
Eng Finding:
Ops Finding:
SAP WO Long Desc: REPLACE P8716 EAST H2O INJECTION PACKING
 HDC East Water Injection Pump has blown packing on pump side.
TRN: 2001674
 P<(><)>ID ATTACHED",C-457 MANUAL OUTAGE,3LP_VLV,DESIGN,REPLACE
20195296,1,"Notif ID: 11356043
Eng Finding: Failure to follow pump start procedure, caused seals to fail.
Ops Finding: Conseq-Fail induced by other part/Equip. AW 3/4/2014 1:36 PM
The primary seal faces were polished which is indicative of poor seal face lubrication. The poor seal face lubrication may have been
caused from a lack of seal flush at some point or may have been a lack of lubrication during the first few seconds at start up. Flowserve. AW 3/5/2014 3:43 PM
SAP WO Long Desc: REPLACE SOUTH P5285 SEALS PER SCOPE <H>SAP 20195296</>  TRN: 2002525  P<(>&<)>ID ATTACHED 3-2137-0112  WORK SCOPE TBD  FORM-1 ATTACHED  REPLACE BOTH PUMP SEALS PER WORK SCOPE.
",C-457 MANUAL OUTAGE,PIPING,WEAR,RESTART
20201773,1,"Notif ID:
Eng Finding:
Ops Finding: Seal flush is inadequate. There is a design deficiency, there is not enough water pressure. AW 3/5/2014 3:35 PM
SAP WO Long Desc: P5155 B/O SEAL REPAIR AS NEEDED
 Per Pump Champion Thomas Prestwood the secondary seal is going bad and
 leaking. East Stripper Bottoms. Pump P5155. ",C-457 KO LEVEL,KO,LEVEL,REPAIR
20209885,1,"Notif ID: 11444026
Eng Finding: gate valve is aoutside the pump envelope -PT - 3/10/2014
Ops Finding: Depending on the level in the pot, sometimes the pump runs way back of the curve or way ahead of the curve
SAP WO Long Desc: REPAIR GATE VALVES PER MARKED UP PID    >ID
 TRN: 2001674  TFF ATTACHED
 REPAIR OR REPLACE GATE VALVES AND CHECK VALVES PER MARKED UP ATTACHED P  <(>&<)>ID. ",C-457 VALVE FAILED,1LP_3HP_VLV,LEAK,REPLACE
20216553,1,"Notif ID: 11482541
Eng Finding: transducer repair. Not in the envelope - PT-4/14/2014
Ops Finding:
SAP WO Long Desc: B/O SEAL POT PSI TRANSDUCER WIRES P5285
 SAP 20216553
P<(>&<)>ID ATTACHED
   PICTURES OF ELECTRONIC PARTS ATTACHED
 THE SEAL POT PRESSURE TRANSDUCER CABLES AND ASSOC. EQUIPMENT ON THE
 SOUTH STABILIZER REBOILER PUMP P5286 NEED REPA",C-457 COMPRESSOR REPAIR,C457,MAINTENANCE,REPAIR
20222311,1,"Notification ID: 11524336
Eng FInding: ´ The primary reason for this outage is to replace 3LP cylinder valves.  All new valves will have Elgiloy springs installed.  It is required that these valves be stamped with the parts information from TF Hudgins as agreed, and recorded on the valve inspection sheets
´ 3LP valves will be replaced.
´ All valve blank covers will be torqued on all cylinders.
´ Operations to wash through suction KO drain and pulsation bottle drain lines until clean.
o Mechanical to support as needed.
´ Operations to wash through KO level bridles and instrument nozzles.
´ Instrumentation to replace leaking quick exhaust on top HP pocket unloader.
´ Instrumentation to repair/replace all bad order TIÍs after machinery work is complete.
´ Instrumentation to repair 2HP West Crosshead vibration transducer.
´ Swap out 1LP Discharge RV HC0130.
´ Swap out 2LP Discharge RV HC0134.
´ Swap out 3LP Discharge RV HC0136.
Ops Finding: During Normal Operations of the HDC unit, the 3rd stg LP Suction valve failed causing the 2nd stage discharge RV (HC134) to over pressure and result in a flaring event. The flaring event led to loss of Seal DP on the: HP Flare Seal Drum 21L626SD; FCC Flare Seal Drum 21L640SD: and the LP Flare Seal Drum 21L633SD.  IMPACT 766424",C-307 BROKEN SEALS DUE TO HIGH PRESSURE,HP_LP_FCC_SEAL,PRESSURE,REPLACE
20234820,1,"Notif ID: 11610410
Eng Finding:
Ops Finding: No FE's found -no repair work done-PT 6/4/2014 3:12 PM
SAP WO Long Desc: FE9820 REPLACE SEAL [DOR] P5284
   SAP 20234820
   FE9820 DUE 5/30/2014
 REPLACE PUMP SEAL.
 REPLACE PUMP SEAL TUBING & TUBING FITTINGS WITH NEW SS TUBING AND
 FITTINGS.  REPLACE PUMP PRESSURE GAUGE AND USE PIPE DOPE ON THREADS OF GAUGE",C-307 VALVE FAILED,XV_VALVE,LEAK,REPLACE
20243543,1,"Notif ID:
Eng Finding: WO purchased coupling inserts for replacement.  No form 1 or form 3 found. - DFW 3/4/2015
Ops Finding:
SAP WO Long Desc: B/O COUPLING P5156
 B/O COUPLING WEST FRESH CAUSTIC PUMP 5156 ",C-307 VALVE FAILED,3LP_VLV,LEAK,REPLACE
20243544,1,"Notif ID:
Eng Finding: Replaced woods coupling. - DFW 3/4/2015
repair was under 200 dollars. But we still need to understand what the rootcause for the coupling failure was. Was it end of life, was it LTA alignment. Etc. ?? PT 4/15/2015
Ops Finding:
SAP WO Long Desc: B/O COUPLING-P6497
 B/O COUPLING EAST FRESH CAUSTIC PUMP 6497 ",C-307 VALVE FAILED,2LP_VLV,LEAK,REPLACE
20250968,1,"Notif ID: 11729775
Eng Finding:
Ops Finding:
SAP WO Long Desc: REPLACE OUTSIDE GATE VALVE [STEAM LEAK] SAP 20250968  PICTURE ATTACHED
 SCAFFOLD REQUIRED  EXCEL SHEET WITH DETAILS ATTACHED  REPAIR STEAM LEAKS INDICATED IN PICTURE AND EXCEL SHEET.
 OUTSIDE GATE VALVE IN PICTURE IS LEAKING AND NEEDS ",C-307 VALVE FAILED,MOV_VLV,INST,RESTART
20254681,1,"Notif ID:
Eng Finding: MOC implemented to changed Plan 54 water supply to CWS with flowmeter, gauge, and needle valve to ensure it is maintained above stuffing box pressure. - DFW 3/4/2015
Ops Finding: adhered to the stationary face. The poor lubrication was most likely because API Plan 41 was inoperable at some point.
SAP WO Long Desc: REPLACE SEALS P5094 E. STRIPPER FEED
 SAP 20254681  TRN: 2002530  P<(>&<)>ID ATTACHED  REPLACE SEALS. CHECK COUPLING AND REPLACE IF NECESSARY. ",C-307 VALVE FAILED,3LP_VLV,LEAK,REPLACE
20258755,1,"Notif ID:
Eng Finding: WO $2k
No RCFA.
No Form 3.
Wood's coupling replaced. - DFW 3/25/2015
The seal was worked the year before. The coupling was handled. I do not believe this to be end of life. If it was end of life then this should have been caught during the previous repair. All parts that are touched during a repair should be inspected for life expectancy. The coupling is touched during almost all pump repairs, and should have been assessed during the seal repair. - PT 7/1/2015
Ops Finding: Form 1:  operator found motor shaft turning and pump shaft was not.
SAP WO Long Desc: REPLACE COUPLING N Contact (P5117) Dualayers North Contact pump (033-M-P5117) the coupling is bad order.  The plastic coupling is broke. The motor runs but pump does not. Please  repair as needed.
 PUMP IS LO/TO AND READY TO COUPLE UP",C-308 CROSSHEAD VIBRATION,1HP_2HP_CROSSHEAD,VIB,REPLACE
20258756,1,"Notif ID: 11777082
Eng Finding: WO $22K
Ops Finding: Form 3:  Wear ring on impeller replaced.  Impeller rebalanced.
RCFA: Secondary seal was leaking to atmostphere, rotating and stationary seal faces polished, rotating face was blistered.  Routine walks found seal pot level low.
Rotating and stationary seal faces were polished and the rotating face was blistered indicating poor seal face lubrication.  The poor lubrication was because API plan 52 barrier fluid was too low to circulate.
SAP WO Long Desc:  REPLACE SEAL HVY NAPHTHA BOOSTER P7697 SAP 20258756  TRN: 2002047  P<(>&<)>ID's ATTACHED  FORM-1 ATTACHED  JSA TTACHED
 Heavy Naphtha Booster pump in Area-P [REPLACE PUMP SEALS].  REPLACE BONNETS ON VALVES MARKED IN ATTACHE",C-308 CROSSHEAD VIBRATION,3HP_CROSSHEAD,VIB,REPLACE
20259116,1,"Notif ID: 11783694
Eng Finding: No RCFA or pump form 3. - DFW 3/25/2015
Ops Finding:
SAP WO Long Desc: REPLACE P5295 SEALS AND BEARINGS
SAP 20259116  TRN: 2002528  P<(>&<)>ID ATTACHED  FORM-1 ATTACHED
 JSA ATTACHED  REPLACE SEALS AND BEARINGS. REPLACE BONNETS ON BROKEN BLEEDER VALVES.   ",C-308 CROSSHEAD VIBRATION,1HP_2HP_CROSSHEAD,VIB,REPLACE
20259927,1,"Notif ID: 11789162
Eng Finding: Not a repair.  Changing valves.  - DFW 9/9/2014
Ops Finding:
SAP WO Long Desc: HDC Repair GV on P7697 Hvy Naph Booster pump
 REPLACE GATE VALVE BONNETS <(>&<)> NDWHEELS  SAP 20259927  TRN: 2002047 RED-LINED P<(>&<)>ID ATTACHED TFF  REPLACE GATE VALVES (BLEEDERS/VENTS) AS INDICATED ON THE ATTACHED P <(>&",C-308 CROSSHEAD VIBRATION,3HP_CROSSHEAD,VIB,RESTART
20264468,1,"Notif ID:
Eng Finding:
Ops Finding: Flowserve:  The stationary and rotating seal faces on the secondary seal had heavy wear and were polished because API plan 54 pressure was not high enough.  API plan 54 was replaced with the correct pressure but the secondary seal had already failed. - DFW 3/4/2015
SAP WO Long Desc: REPLACE PUMP SEALS P7238
 SAP20264468
 TRN: 2002340
 P<(>&<)>ID ATTACHED
 FORM-1 ATTACHED
 B-BREAK FORM SIGNED BY OPS & MNT SLS ATTACHED
 Operator and Flowserve started up the pump after a new seal flush system
 was installed... A",C-308 CROSSHEAD VIBRATION,3HP_CROSSHEAD,VIB,RESTART
20264581,1,"Notif ID:
Eng Finding: Gate valve replacement
Ops Finding:
SAP WO Long Desc: REPLACE SUCTION & DISCHARGE GATE VALVES
 SAP 20264581
 P<(>&<)>ID 3-2133-0123 ATTACHED
 TRN: 2002529
 PICTURE ATTACHED
 TFF ATTACHED
 REPLACE SUCTION AND DISCHARGE GATE VALVES ON P6635 WEST STRIPPER BTMS
 PUMP.",C-308 VALVE FAILED,3LP_VLV,LEAK,REPLACE
20267550,1,"Notif ID:
Eng Finding:
Ops Finding: Flowserve:  The stationary and rotating seal faces were polished which is indicative of poor seal face lubrication.  The poor seal face lubrication was most likely because API plan 54 pressure was too low to be operable.
Recommendation:  Connect API plan 54 to difference source with more pressure.  - DFW 3/4/2015
SAP WO Long Desc: B/O Seal on Pump P6635  [WEST]
 SAP 20267550
TRN: 2002529
 P<(>&<)>ID ATTACHED
 FORM-1 ATTACHED
 PER PUMP CHAMPION BAD SEAL, PULL AND REPAIR P6635
 West Stripper Bottoms. Check PMI before returning to service.
Make sure to have part",C-308 VALVE FAILED,2LP_3LP_VLV,LEAK,REPLACE
20269727,1,"Notif ID:
Eng Finding: WO $26k
API Plan 54 flush source changed with additional monitoring. - DFW 4/8/2015
Ops Finding: Flowserve:  The secondary stationary and rotating seal faces were polished which is indicative of poor seal face lubrication.  The poor seal face lubrication was most likely because API plan 54 did not have enough pressure or flow to be operable. - DFW 3/4/2015
SAP WO Long Desc: REPLACE SEALS & BEARINGS P7237 [WEST]
 SAP 20269727  TRN: 2002530  P<(>&<)>ID ATTACHED  FORM-1 ATTACHED
 REPLACE PUMPS SEALS AND BEARINGS. INSPECT COUPLING AND REPLACE AS
NEEDED. ",C-308 CROSSHEAD VIBRATION,HPS_CROSSHEAD,VIB,RESTART
20269728,1,"Notif ID:
Eng Finding: WO $10k
API Plan 54 flush source changed with additional monitoring. - DFW 4/8/2015
Ops Finding: Form 1 indicates bad bearing.  Operations notice bearing housing has grey oil.
Form 3 indicates function failure of overfilling with oil.  New shaft was made, bearings replaced, new seal, and converted to oil mist. - DFW 3/4/2015
RCFA:  Secondary seal was leaking to atmosphere, secondary rotating bellows assembly was ruptured, secondary stationary seal face was polished, API 54 didn't have enough pressure to operate.
SAP WO Long Desc: REPLACE PUMP SEALS & BEARINGS P5094
AP 20269728  TRN: 2002530
 P<(>&<)>ID ATTACHED
 FORM-1 ATTACHED  REPLACE EAST STRIPPER FEED PUMP SEALS AND BEARINGS. ",C-308 CROSSHEAD VIBRATION,HPS_CROSSHEAD,VIB,RESTART
20270039,1,"Notif ID:
Eng Finding: WO $3k
No Form 1
Ops Finding: Form 3: Leakage, Ext. Above Fug Emission Limit
RCFA: The pump was written up as a seal leak, but inpsection in machine shop indicated a pipe nipple that was installed wrong in the field.  The seal tear down showed that all faces and othe components appeared to be in near new condition.
SAP WO Long Desc: REPLACE PUMP SEALS-FE FAILURE
 SAP 20270039  TRN: 2002504
 P<(>&<)>ID 3-2130-0120 ATTACHED
 REPLACE PUMP SEALS. REPLACE SEAL FLUSH NIPPLES AND APPLY SEALANT TO
 PREVENT LEAKAGE OF VAPORS.  FE510169 ",C-308 CROSSHEAD VIBRATION,HPS_CROSSHEAD,VIB,RESTART
20271659,1,"Notification ID: 11860848
Eng Findings: C-308 tripped on high level in 3rd stage HP KO drum. West feed heater tripped due to low flow. Shut down was caused by the hard level switch.  IMPACT 820374.
Eng Desctiption: 3HP KO Drum level controller was in bypass due to X-rays in the area.  Operations saw level trending up but did not believe it was real.  Level hit the high level switch and compressor shut down.  DFW 1/7/2015
Ops Finding: C-308 tripped on high level in 3rd stage HP KO drum. West feed heater tripped due to low flow. Shut down was caused by the hard level switch.  IMPACT 820374",C-308 TRIP DUE TO OPERATIONS,3HP,VIB,RESTART
20275699,1,"Notif ID: 11888666
Eng Finding: Piping work external to pump. - DFW 11/11/2014
Ops Finding:
SAP WO Long Desc: REPLACE 2 DISCHARGE BLEEDERS PER P & ID )> ID >ID SAP 20275699
 P<(>&<)>ID ATTACHED  TRN: 2001674
 REPLACE THE BONNETS AND GATES ON THE INDICATED BROKEN 3/4"" GATE VALVES
 ON EAST WATER INJECTION PUMP. REPLACE BONNETS ON ANY ADDITIONAL 88",C-308 VALVE FAILED,2LP_3LP_VLV,LEAK,REPAIR
20278265,1,"Notif ID: 11905328
Eng Finding: Operations worked tubing to clear FE. - DFW 11/11/2014
Ops Finding:
SAP WO Long Desc: REPLACE SEAL FLUSH FLARE CHECK VALVE SAP 20278265  TRN: 2002527  P<(>&<)>ID ATTACHED  REPLACE TUBING CHECK VALVE ON SEAL TUBING TO FLARE. FE LEAK COMING FROM  FLARE GAS FLOWING BACK INTO SEALS. ",C-457 KO TRIP DUE TO HIGH LEVEL,KO,OPS,RESTART
20278267,1,"Notif ID:
Eng Finding: WO $21k
No RCFA
Ops Finding: Form 3:  Hook sleeve measurement .206.  Requirement .188 ± .030.  Fabricate new shaft.  Cut back hook sleeve shoulder because impeller was hitting the case.
SAP WO Long Desc: REPLACE P4645 SEALS PER FE FAILURE SAP 20278267  TRN: 7115791XUS
 P<(>&<)>ID ATTACHED  REPLACE PUMP P4645 SEALS PER FE FAILURE. ",C-457 KEY_PHASOR FAILED,KEY_PHASOR,LOOSE,REPAIR
20278475,1,"Notif ID: 11905693
Eng Finding: WO $83k Sent to Hydrotex
Email sent requesting repair report.
No Form 3
No RCFA - No report but see failure that occurred four months later. This was probalythe cause of this failure but because there is no report we will mark this undeterminate. - PT - 5/13/2015
Ops Finding: Form 1:  After some time of troubleshooting it was determined that the O/B seal had failed.
SAP WO Long Desc: R & R P5283 SEAL & SEAL FLUSH CHECK VALV SAP 20278475  TRN: 2002527  P<(>&<)>ID ATTACHED  FORM-1 ATTACHED  REPLACE TUBING CHECK VALVE ON SEAL TUBING TO FLARe. FE LEAK COMING FROM  FLARE GAS FLOWING BACK INTO SEALS.  REPLACE PUMP ",C-457 VALVE FAILED,2LP_3LP_VLV,LEAK,REPLACE
20290852,1,"Notification ID: 11987356
Eng Finding: C308 tripped while operator was blowing down traps. The machinery engineer was notified and the machine was inspected. Compresor was restarted and suffered a second trip for the same rason. Trap flows were adjusted and compressor restarted. Event is simalar to the Jan. event and is activley being investigated by the machinery group.  IMPACT 8837806
Ops Finding: 3HP crosshead vibration increases rapidly with increasing compression ratio.  Operations has been guidance to minimize drop in suction pressure when operating traps.  Following the trip, operations pinched down on block valves around the trap XV to restrict flow. No work was done on the machine to allow for a restart. - DFW 3/18/2015",C-457 VALVE FAILED,2LP_VLV,LEAK,REPLACE
20292253,1,"Notif ID: 11995356
Eng Finding: WO $23k
Found C301 auxiliary lube oil pump locked up on routine test run.  Pump replaced with storehouse spare. - DFW 4/8/2015
We should not close out this repair without a form 3. email sent to find. IT is important that we know why this locked up so we can either mitigate it or assess whether or not it matters. - PT - 7/1/2015
Ops Finding: Form 1:  When process tried to run pump it was locked up and motor wouldn't turn.  After uncoupling, pump broke free with pipe wrench and seemed to turn ok.  With the criticality of this pump to process, we determined it best to change pump because we don't know what caused pump to lock up.
First Pass:  Same as from 1
SAP WO Long Desc: REPLACE LUBE OIL P8234 C-301 RING FENCE SAP 20292253 TRN: 2007057  P<(>&<)>ID ATTACHED
 UNCOUPLE P8234 LUBE OIL PUMP. DETERMINE IF MOTOR OR PUMP HAS LOCKED UP.
 REPLACE WHICHEVER PIECE OF EQUIPMENT IS NECESSARY, ALIGN, RECOUPLE AND  P",C-457 KO TRIP DUE T OPERATIONS,KO,OPS,RESTART
20293569,1,"Notif ID: 11999269
Eng Finding: WO $3k
No Form 1
No Form 3
Ops Finding:
SAP WO Long Desc: REPLACE ALL PUMP PACKING P7700 NORTH SAP 20293569  TRN: 2001674  P<(>&<)>ID ATTACHED
   NORTH WATER INJECTION PUMP 37-P7700: REMOVE OLD PACKING AND INSPECT  PLUNGERS FOR DAMAGE. REPLACE ALL PACKING AND REPLACE ANY DAMAGED  PLUNGERS. ",C-457 BULL_PLUG FAILED,BULL_PLUG,LEAK,REPLACE
20301377,1,"Notif ID: 12052654
Eng Finding: WO $7k
Ops Finding:
SAP WO Long Desc: B/O PACKING EAST H2O INJ.
 B/O PACKING EAST WATER INJECTION PUMP.",P8716 PACKING FAILED,PACKING,WATER_INJ,REPLACE
20304266,1,"Notification ID: 12078334
Eng Finding: 3HP crosshead vibration increases rapidly with increasing compression ratio.  Operations has been guidance to minimize drop in suction pressure when operating traps.   No work was done on the machine to allow for a restart. - DFW 3/18/2015
Ops Finding: While draining traps on C-308, the compressor tripped on high vibration. Decision was made to leave it down for repairs. While depressuring we proceeded to go to flare and the flare seal DP dipped below Tier 1 minimum of 10 lbs on the LP, HP, and the FCC flare stacks.  IMPACT 835707",P5285 SEAL FAILED,SEAL,OPS,REPLACE
20304959,1,"Notif ID:
Eng Finding:
Ops Finding:
SAP WO Long Desc: AVO-SOUTH C2+ PUMP DISCHARGE PIPE LEAK SAP 20304959
TRN: 2002504
 P<(><)>ID ATTACHED  TWO PICTURES ATTACHED DETAILING LOCATION AND SPOOLPIECE FOR REMOVAL.
 JLA ATTACHED
 SOP-701 ATTACHED
 TFF ATTACHE
 AVO ON P8710 [G700B]-REMOVE ",P5285 INSTRUMENTATION FAILED,INSTRUMENTATION,ELECTRICAL_SHORTING,REPAIR
20310594,1,"Notif ID: 12112288
Eng Finding: WO $7k
Ops Finding: Summary Notes
SEAL RCFA
* Symptom: Product Leakage, Seal/Seal Support
* System: Seal/Seal Support
* Failure Mode: Seal
* Failure Cause: Broken Face
* Failure Reason: Undefined
Discussion
* Both inboard primary seal faces are severely damaged.
* At some point the stationary face was broken and caused damage to the rotating face.
Recommendations
* continue to monitor pump for possible reasons for broken face. - Flowserve - 8/5/2015
SAP WO Long Desc: FE-R & R P5284 SEALS & SEAL FLUSH CHECK SAP 20310594  P5284 SOUTH C4 BOOSTER P3306B  AVO FINDING (FE)  P<(>&<)>ID 3-2137-0113 ATTACHED  JLA''s ATTACHED  SIGNED AUTHORIZATION FORM ATTACHED [AARON TROY ACTING AS PROCESS SLS AND BT MANAGER",P8716 VALVE FAILED,VALVE,OPS_ENVELOPE,REPAIR
20310838,1,"Notif ID: 12118888
Eng Finding: WO $20k
Ops Finding: Flowserve:  Seal failure due to no orifice installed in the primary flush line, so fluid is entering the seal chamber a roughly 104 GPM and possibly causing turbulence around primary seal components.  This could case components to vibrate and work loose during normal operation. - DFW 3/4/2015
SAP WO Long Desc: FE #9819 REWORK-REPLACE SEALS 37P5283 SAP 20310838  TRN: 7124567XUS
 P<(><)>ID 3-2137-0113 ATTACHED FORM-1 ATTACHED  FE #9819 DUE 2/26/15.
 PUMP SEALS FAILED. PUMP HAD A MAJOR REBUILD LESS THAN 30 DAYS AGO.
 REPLACE SEALS.  2/11/2015
 K",P5295 SEAL BEARING FAILED,SEAL_BEARING,UNDETERMINED,REPLACE
